NCM;Exp_jan;Imp_jan;Net_jan;Exp_fev;Imp_fev;Net_fev;Exp_mar;Imp_mar;Net_mar;Exp_abr;Imp_abr;Net_abr;Exp_mai;Imp_mai;Net_mai;Exp_jun;Imp_jun;Net_jun;Exp_jul;Imp_jul;Net_jul;Exp_ago;Imp_ago;Net_ago;Exp_set;Imp_set;Net_set;Exp_out;Imp_out;Net_out;Exp_nov;Imp_nov;Net_nov;Exp_dez;Imp_dez;Net_dez;Exp_total;Imp_total;Net_total
94059200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;-98;0;0;0;0;98;-98
84145910;0;270;-270;0;0;0;0;122;-122;0;0;0;0;0;0;0;69;-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461;-461
84609090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1626;-1626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1626;-1626
85176211;0;0;0;0;0;0;0;4771;-4771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4771;-4771
40119090;0;1877;-1877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1877;-1877
90171090;0;0;0;0;0;0;0;247;-247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247;-247
39219019;0;0;0;0;0;0;0;42096;-42096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42096;-42096
76101000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;515;-515;0;515;-515
27101932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;-204;0;204;-204
38159092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;341160;-341160;0;341160;-341160
82032010;0;0;0;0;0;0;0;138;-138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;-138
40092290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75678;-75678;0;0;0;0;151363;-151363;0;0;0;0;0;0;0;240134;-240134;0;198309;-198309;0;665484;-665484
90262010;0;0;0;116;89;27;0;0;0;0;0;0;0;0;0;0;0;0;0;45;-45;0;461;-461;0;272;-272;0;0;0;0;41;-41;0;339;-339;116;1247;-1131
84193900;0;0;0;0;0;0;0;0;0;0;418008;-418008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;418008;-418008
84213100;0;879;-879;0;0;0;0;0;0;0;0;0;0;0;0;0;866;-866;0;56;-56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1801;-1801
39191090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389;-389;0;0;0;0;0;0;0;802;-802;0;1191;-1191
85015110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;335;-335;0;0;0;0;16493;-16493;0;290;-290;0;0;0;0;0;0;0;17118;-17118
34039900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;596;-596;0;0;0;0;0;0;0;0;0;0;0;0;0;596;-596
73151210;0;0;0;0;13030;-13030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13064;-13064;0;4230;-4230;0;30324;-30324
84833010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;359;-359;0;56;-56;0;0;0;0;0;0;0;0;0;0;0;0;0;415;-415
56079090;0;18088;-18088;0;0;0;0;0;0;0;42373;-42373;0;10653;-10653;0;0;0;0;53985;-53985;0;0;0;0;100081;-100081;0;58780;-58780;0;16341;-16341;0;0;0;0;300301;-300301
83062900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;507;-507;0;0;0;0;507;-507
84818095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6442;-6442;0;0;0;0;0;0;0;0;0;0;995;-995;0;0;0;0;7437;-7437
84825090;0;0;0;0;505;-505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;452;-452;0;0;0;0;0;0;0;957;-957
25231000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;589953;-589953;0;0;0;0;0;0;0;589953;-589953
90183929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232000;-232000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232000;-232000
57029900;0;0;0;0;1635;-1635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3472;-3472;0;0;0;0;0;0;0;0;0;0;5107;-5107
84199040;0;0;0;0;0;0;0;2036;-2036;0;0;0;0;0;0;0;2151;-2151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4187;-4187
63029100;0;0;0;0;94900;-94900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94900;-94900
85076000;0;0;0;0;0;0;0;5605;-5605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5605;-5605
40101200;0;0;0;0;2091;-2091;0;18461;-18461;0;0;0;0;0;0;0;0;0;0;3043;-3043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23595;-23595
31042090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;894100;-894100;0;1739035;-1739035;0;2633135;-2633135
20093900;0;230796;-230796;40493;0;40493;22320;0;22320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62813;230796;-167983
29252923;0;27324;-27324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30164;-30164;0;57488;-57488
81029500;0;0;0;0;0;0;0;0;0;0;11257;-11257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11257;-11257
85112010;0;1145;-1145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1145;-1145
84622900;0;10102;-10102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10102;-10102
82083000;0;0;0;0;0;0;0;0;0;0;4242;-4242;0;0;0;0;0;0;0;0;0;0;7742;-7742;0;0;0;0;4970;-4970;0;4599;-4599;0;0;0;0;21553;-21553
84135090;0;0;0;0;7499;-7499;0;1213;-1213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8712;-8712
84149020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;-120;0;0;0;0;118;-118;0;0;0;0;0;0;0;238;-238
